iloϾ;typ;czas bubble;czas counting;czas merge;czas quick;czas selection;czas shell;
82;const;0,0209;0,0074;0,01;0,0041;0,0143;0,0033;
83;const;0,012;0,002;0,0145;0,0028;0,0115;0,0025;
84;const;0,0188;0,0063;0,0117;0,0045;0,0164;0,0038;
85;const;0,0181;0,0079;0,0108;0,0043;0,0171;0,0037;
86;const;0,0133;0,0052;0,0084;0,0031;0,0122;0,0027;
87;const;0,0184;0,0219;0,009;0,0037;0,0159;0,0032;
88;const;0,0149;0,005;0,0082;0,0034;0,0271;0,0029;
89;const;0,0151;0,0039;0,0162;0,0034;0,048;0,0031;
90;const;0,0158;0,0018;0,0125;0,0035;0,0151;0,0032;
91;const;0,0164;0,0019;0,0124;0,0034;0,0156;0,0032;
92;const;0,0186;0,0056;0,0091;0,0036;0,0159;0,0033;
93;const;0,0182;0,0021;0,0139;0,0041;0,018;0,0035;
94;const;0,0178;0,002;0,0141;0,0041;0,0177;0,0034;
95;const;0,0173;0,0019;0,0179;0,0036;0,0166;0,0033;
96;const;0,0178;0,0016;0,0135;0,0044;0,0181;0,0035;
97;const;0,0194;0,0022;0,0138;0,0042;0,0181;0,0035;
98;const;0,0202;0,0076;0,0097;0,0041;0,0331;0,0037;
99;const;0,0141;0,0015;0,0121;0,0029;0,013;0,0026;
100;const;0,0195;0,0017;0,015;0,0041;0,0187;0,0036;
1;asc;0,0008;0,0007;0,0002;0,0002;0,0001;0,0002;
2;asc;0,0012;0,0007;0,0004;0,0003;0,0003;0,0003;
3;asc;0,001;0,0013;0,0006;0,0004;0,0003;0,0003;
4;asc;0,0009;0,001;0,0004;0,0004;0,0004;0,0004;
5;asc;0,0009;0,001;0,0006;0,0004;0,0004;0,0004;
6;asc;0,001;0,0012;0,0008;0,0005;0,0004;0,0004;
7;asc;0,0011;0,0013;0,0084;0,0005;0,0005;0,0003;
8;asc;0,0011;0,0013;0,001;0,0006;0,0005;0,0004;
9;asc;0,0012;0,0012;0,0011;0,0006;0,0006;0,0006;
10;asc;0,0012;0,0013;0,001;0,0006;0,0006;0,0005;
11;asc;0,0015;0,0016;0,0014;0,0008;0,0007;0,0005;
12;asc;0,0015;0,0046;0,0014;0,0008;0,0007;0,0005;
13;asc;0,0014;0,0012;0,0015;0,0008;0,0007;0,0006;
14;asc;0,0015;0,0016;0,0017;0,0009;0,0008;0,0006;
15;asc;0,0014;0,0016;0,0017;0,001;0,0009;0,0006;
16;asc;0,0015;0,0016;0,0017;0,001;0,0008;0,0006;
17;asc;0,0017;0,0015;0,0022;0,001;0,0009;0,0007;
18;asc;0,0017;0,0017;0,0023;0,0011;0,0014;0,0008;
19;asc;0,0019;0,0059;0,0022;0,0013;0,0012;0,0008;
20;asc;0,0019;0,0015;0,0021;0,0013;0,0013;0,0008;
21;asc;0,0019;0,0019;0,0023;0,0013;0,0013;0,0008;
22;asc;0,0021;0,0057;0,0024;0,0014;0,0014;0,0008;
23;asc;0,0022;0,0019;0,0025;0,0016;0,0016;0,0008;
24;asc;0,0024;0,0018;0,0091;0,0015;0,0014;0,0008;
25;asc;0,0023;0,0019;0,0025;0,0016;0,0017;0,0008;
26;asc;0,0023;0,0017;0,0026;0,0017;0,002;0,001;
27;asc;0,0026;0,0062;0,0029;0,0019;0,0021;0,0009;
28;asc;0,0027;0,002;0,0027;0,0019;0,0021;0,0008;
29;asc;0,0028;0,002;0,0061;0,002;0,0022;0,001;
30;asc;0,0029;0,002;0,0029;0,0021;0,0025;0,001;
31;asc;0,003;0,0084;0,0031;0,0022;0,0025;0,0009;
32;asc;0,003;0,0022;0,0034;0,0022;0,0023;0,0012;
33;asc;0,0036;0,0084;0,0032;0,0023;0,0027;0,0013;
34;asc;0,0035;0,0021;0,0038;0,0027;0,0029;0,0014;
35;asc;0,0041;0,0052;0,0034;0,0027;0,0028;0,0012;
36;asc;0,004;0,0021;0,0035;0,0029;0,0032;0,0013;
37;asc;0,0039;0,0059;0,0036;0,003;0,0034;0,0013;
38;asc;0,0041;0,0021;0,0039;0,003;0,0037;0,0014;
39;asc;0,0043;0,0021;0,0039;0,0031;0,0037;0,0014;
40;asc;0,0043;0,0023;0,0083;0,0032;0,004;0,0015;
41;asc;0,0046;0,0025;0,0041;0,0032;0,004;0,0013;
42;asc;0,0046;0,0065;0,0044;0,0033;0,004;0,0015;
43;asc;0,0047;0,0025;0,0076;0,0035;0,0043;0,0015;
44;asc;0,005;0,0024;0,0042;0,0036;0,0045;0,0016;
45;asc;0,0053;0,0023;0,0044;0,0039;0,0045;0,0016;
46;asc;0,0054;0,0025;0,0093;0,0041;0,0053;0,0016;
47;asc;0,0056;0,0024;0,0089;0,0042;0,0049;0,0017;
48;asc;0,0059;0,0026;0,005;0,004;0,0051;0,0017;
49;asc;0,0061;0,0069;0,0055;0,0042;0,005;0,0017;
50;asc;0,0066;0,0026;0,0096;0,0047;0,0053;0,0017;
51;asc;0,005;0,0025;0,0113;0,0192;0,0042;0,0012;
52;asc;0,0068;0,003;0,0059;0,0045;0,006;0,0017;
53;asc;0,0072;0,0065;0,0053;0,0049;0,0065;0,0019;
54;asc;0,0053;0,002;0,0093;0,0041;0,0047;0,0013;
55;asc;0,0081;0,0028;0,0179;0,0056;0,0071;0,0018;
56;asc;0,008;0,0029;0,0102;0,0057;0,0077;0,0021;
57;asc;0,0079;0,0029;0,0061;0,0058;0,0075;0,002;
58;asc;0,0222;0,0056;0,0059;0,0057;0,0069;0,002;
59;asc;0,0083;0,0027;0,0093;0,0055;0,0073;0,0019;
60;asc;0,0082;0,0028;0,0104;0,0053;0,0075;0,0019;
61;asc;0,0081;0,0025;0,0098;0,0059;0,0076;0,0019;
62;asc;0,0094;0,0033;0,0135;0,0066;0,0085;0,0022;
63;asc;0,0092;0,0027;0,0097;0,0065;0,0084;0,002;
64;asc;0,0091;0,0032;0,0135;0,006;0,0084;0,0025;
65;asc;0,0096;0,0027;0,0111;0,0068;0,0087;0,0026;
66;asc;0,0105;0,0032;0,0074;0,0072;0,009;0,0026;
67;asc;0,0101;0,003;0,0069;0,0073;0,0094;0,0025;
68;asc;0,0103;0,0033;0,0066;0,0067;0,0098;0,0027;
69;asc;0,0124;0,0031;0,0072;0,0075;0,01;0,0026;
70;asc;0,0111;0,0033;0,0077;0,0076;0,0095;0,0025;
71;asc;0,0111;0,0032;0,0109;0,0074;0,0104;0,0027;
72;asc;0,0082;0,0026;0,0124;0,0064;0,0079;0,0018;
73;asc;0,0077;0,0023;0,0083;0,0059;0,0074;0,0019;
74;asc;0,0079;0,0025;0,0083;0,006;0,0075;0,0018;
75;asc;0,0132;0,0036;0,0146;0,0079;0,0121;0,0031;
76;asc;0,0131;0,0033;0,0131;0,0084;0,0111;0,0029;
77;asc;0,0124;0,0032;0,0142;0,0089;0,0119;0,0027;
78;asc;0,014;0,0032;0,0132;0,0088;0,0124;0,0029;
79;asc;0,0138;0,0099;0,008;0,01;0,0129;0,0031;
80;asc;0,0139;0,0069;0,0082;0,0097;0,0133;0,0031;
81;asc;0,0149;0,0078;0,009;0,0103;0,0138;0,0031;
82;asc;0,0152;0,0075;0,0086;0,0099;0,0138;0,003;
83;asc;0,0155;0,0068;0,0095;0,0099;0,0148;0,0032;
84;asc;0,0161;0,0078;0,0094;0,0103;0,014;0,0031;
85;asc;0,0155;0,0072;0,0085;0,0101;0,0146;0,0031;
86;asc;0,0149;0,0061;0,0131;0,01;0,0141;0,003;
87;asc;0,0163;0,0034;0,0124;0,0107;0,0155;0,003;
88;asc;0,0154;0,0033;0,0128;0,0101;0,0166;0,0032;
89;asc;0,0171;0,0072;0,0097;0,0112;0,0166;0,0033;
90;asc;0,0171;0,0035;0,0135;0,0111;0,0162;0,0034;
91;asc;0,0125;0,003;0,0115;0,0091;0,0115;0,0023;
92;asc;0,0147;0,0028;0,0146;0,0087;0,0117;0,0023;
93;asc;0,0187;0,0039;0,0155;0,0116;0,0174;0,0036;
94;asc;0,0189;0,0035;0,017;0,0138;0,0178;0,0035;
95;asc;0,0192;0,0077;0,0101;0,0127;0,0183;0,0036;
96;asc;0,0196;0,0038;0,0151;0,0127;0,0186;0,0035;
97;asc;0,0183;0,0037;0,0144;0,0117;0,0196;0,0038;
98;asc;0,0204;0,0068;0,0195;0,0143;0,019;0,004;
